Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,ID
19.35,Regular,0.049736267,Fruits and Vegetables,76.8644,2002,,Tier 2,Supermarket Type1,1571.288,FDE33OUT045
16.7,reg,0.117026714,Baking Goods,189.2214,1998,,Tier 3,Grocery Store,188.4214,FDM12OUT010
9.5,Regular,0.035121963,Fruits and Vegetables,168.6448,1987,High,Tier 3,Supermarket Type1,1022.6688,FDW44OUT013
8.43,Low Fat,0.017311312,Soft Drinks,197.8768,1987,High,Tier 3,Supermarket Type1,3744.4592,DRE48OUT013
14.15,Low Fat,0.008811818,Household,196.511,2002,,Tier 2,Supermarket Type1,2749.754,NCX18OUT045
5.44,Low Fat,0.025583714,Dairy,239.1538,2009,Medium,Tier 3,Supermarket Type2,480.7076,FDA38OUT018
7.35,Regular,0.014353174,Fruits and Vegetables,242.6512,1987,High,Tier 3,Supermarket Type1,969.4048,FDQ19OUT013
,Regular,0.054220618,Breads,129.131,1985,Medium,Tier 3,Supermarket Type3,4933.578,FDY47OUT027
20.1,Regular,0.054410179,Frozen Foods,151.3366,1987,High,Tier 3,Supermarket Type1,2720.4588,FDE17OUT013
12,Low Fat,0.033974436,Canned,181.8976,1997,Small,Tier 1,Supermarket Type1,4527.44,FDY25OUT046
21.25,Low Fat,0.009996872,Meat,185.5608,2004,Small,Tier 2,Supermarket Type1,3123.9336,FDT03OUT035
8.3,Regular,0.030212499,Baking Goods,98.0384,2002,,Tier 2,Supermarket Type1,2857.6136,FDB49OUT045
10.1,Low Fat,0.027217468,Meat,76.067,2007,,Tier 2,Supermarket Type1,1454.773,FDL43OUT017
14.15,Low Fat,0.038123176,Starchy Foods,123.5046,2007,,Tier 2,Supermarket Type1,1992.0736,FDE47OUT017
9,Low Fat,0.079506434,Canned,78.3644,2002,,Tier 2,Supermarket Type1,1728.4168,FDS49OUT045
12.15,Low Fat,0.021811987,Breads,163.6184,2009,Medium,Tier 3,Supermarket Type2,2311.6576,FDU23OUT018
,Low Fat,0.082150145,Dairy,192.9504,1985,Medium,Tier 3,Supermarket Type3,7478.2656,FDU38OUT027
,Low Fat,0.036012919,Snack Foods,148.0734,1985,Small,Tier 1,Grocery Store,593.8936,FDV09OUT019
20,Regular,0.028167478,Fruits and Vegetables,45.5744,1999,Medium,Tier 1,Supermarket Type1,452.744,FDR20OUT049
6.71,Regular,0.029560451,Baking Goods,65.8142,1997,Small,Tier 1,Supermarket Type1,856.8846,FDY11OUT046
,Low Fat,0.039631495,Frozen Foods,31.9558,1985,Medium,Tier 3,Supermarket Type3,984.7182,FDG40OUT027
7.365,Low Fat,0.04280099,Fruits and Vegetables,228.372,2007,,Tier 2,Supermarket Type1,2037.348,FDX20OUT017
7.935,LF,0.017141985,Dairy,50.035,1987,High,Tier 3,Supermarket Type1,149.805,FDZ27OUT013
12.6,Low Fat,0.056394771,Seafood,51.3982,2007,,Tier 2,Supermarket Type1,473.3838,FDH09OUT017
17.6,Low Fat,0.056379439,Frozen Foods,42.7454,1999,Medium,Tier 1,Supermarket Type1,293.6178,FDG29OUT049
19,low fat,0.129534812,Household,190.1872,1999,Medium,Tier 1,Supermarket Type1,5105.3544,NCA30OUT049
7.5,Low Fat,0.036439878,Health and Hygiene,175.3028,2007,,Tier 2,Supermarket Type1,3010.7476,NCL53OUT017
13.35,Low Fat,0,Dairy,77.6012,1997,Small,Tier 1,Supermarket Type1,986.7156,DRE15OUT046
8.6,Low Fat,0.090191431,Household,112.9176,1997,Small,Tier 1,Supermarket Type1,458.0704,NCS38OUT046
,LF,0.30374337,Snack Foods,196.011,1985,Small,Tier 1,Grocery Store,589.233,FDY21OUT019
10.5,Regular,0.022590318,Snack Foods,140.6154,1998,,Tier 3,Grocery Store,283.6308,FDB58OUT010
9,Low Fat,0.082011521,Frozen Foods,213.3534,1997,Small,Tier 1,Supermarket Type1,1935.4806,FDH41OUT046
4.61,Low Fat,0.122843005,Hard Drinks,172.4396,1999,Medium,Tier 1,Supermarket Type1,1569.9564,DRF23OUT049
10.895,Regular,0.05432142,Frozen Foods,146.2102,1998,,Tier 3,Grocery Store,437.4306,FDE05OUT010
17.6,Low Fat,0.049144165,Snack Foods,112.7176,1999,Medium,Tier 1,Supermarket Type1,1717.764,FDY10OUT049
11.65,Low Fat,0.040577878,Fruits and Vegetables,188.224,1999,Medium,Tier 1,Supermarket Type1,1304.968,FDS43OUT049
19.1,Low Fat,0.067400032,Household,41.9796,1999,Medium,Tier 1,Supermarket Type1,784.3124,NCM30OUT049
17.2,Regular,0.012036432,Canned,165.7184,2002,,Tier 2,Supermarket Type1,1816.3024,FDY49OUT045
16.5,Low Fat,0.073977473,Canned,206.8638,2002,,Tier 2,Supermarket Type1,2070.638,FDN02OUT045
15.6,Low Fat,0.143396175,Breakfast,128.0994,2002,,Tier 2,Supermarket Type1,2184.4898,FDP37OUT045
9,Low Fat,0.03201648,Household,99.6016,2004,Small,Tier 2,Supermarket Type1,1922.8304,NCF07OUT035
15,Low Fat,0.058346234,Snack Foods,44.0744,1987,High,Tier 3,Supermarket Type1,633.8416,FDJ09OUT013
,Low Fat,0.14571827,Breads,94.3436,1985,Medium,Tier 3,Supermarket Type3,2269.0464,FDO23OUT027
,Low Fat,0.055806016,Seafood,52.4982,1985,Medium,Tier 3,Supermarket Type3,1209.7586,FDH09OUT027
6.195,Low Fat,0.072097449,Snack Foods,119.3098,1999,Medium,Tier 1,Supermarket Type1,1205.098,FDX34OUT049
20.2,Regular,0.117543713,Baking Goods,197.311,1999,Medium,Tier 1,Supermarket Type1,3338.987,FDV60OUT049
20.7,Low Fat,0.048718334,Fruits and Vegetables,38.7506,1987,High,Tier 3,Supermarket Type1,227.7036,FDE32OUT013
20.25,Low Fat,0.0591756,Household,245.046,2009,Medium,Tier 3,Supermarket Type2,4680.574,NCI30OUT018
7.655,Low Fat,0.031918284,Canned,117.7492,1987,High,Tier 3,Supermarket Type1,695.0952,FDS37OUT013
,Regular,0.095587976,Fruits and Vegetables,193.982,1985,Small,Tier 1,Grocery Store,579.246,FDC57OUT019
5.92,Regular,0.019308607,Soft Drinks,49.0692,2007,,Tier 2,Supermarket Type1,1478.076,DRC01OUT017
18.75,Low Fat,0.023974769,Dairy,99.0042,2007,,Tier 2,Supermarket Type1,694.4294,DRD27OUT017
9.395,Regular,0.100602552,Baking Goods,88.3856,2002,,Tier 2,Supermarket Type1,703.0848,FDI12OUT045
13.35,Low Fat,0.091189915,Snack Foods,149.3708,2004,Small,Tier 2,Supermarket Type1,4514.124,FDQ33OUT035
,Regular,0.077480627,Meat,101.399,1985,Small,Tier 1,Grocery Store,206.398,FDQ27OUT019
19.2,Low Fat,0.129731747,Household,196.211,1998,,Tier 3,Grocery Store,589.233,NCB07OUT010
19,Regular,0.103363904,Fruits and Vegetables,226.172,1987,High,Tier 3,Supermarket Type1,3169.208,FDC08OUT013
14.15,LF,0.020714523,Fruits and Vegetables,124.2046,1997,Small,Tier 1,Supermarket Type1,2490.092,FDD20OUT046
20.85,Regular,0.062212713,Baking Goods,88.1514,2004,Small,Tier 2,Supermarket Type1,1151.1682,FDS24OUT035
8.63,Low Fat,0.031271134,Snack Foods,186.0582,2007,,Tier 2,Supermarket Type1,3900.9222,FDH34OUT017
16.7,Low Fat,0.026729068,Household,248.4776,2009,Medium,Tier 3,Supermarket Type2,6439.6176,NCX30OUT018
7.895,Regular,0.094567181,Breakfast,104.5332,1997,Small,Tier 1,Supermarket Type1,1845.5976,FDM01OUT046
7.72,Low Fat,0.05193741,Fruits and Vegetables,77.9986,1987,High,Tier 3,Supermarket Type1,934.7832,FDB20OUT013
5.615,Low Fat,0.126480422,Health and Hygiene,121.573,2007,,Tier 2,Supermarket Type1,3202.498,NCK29OUT017
7.05,Regular,0.055644887,Breads,224.9088,1999,Medium,Tier 1,Supermarket Type1,2684.5056,FDS11OUT049
14.35,Low Fat,0.028519419,Health and Hygiene,109.2228,1998,,Tier 3,Grocery Store,221.0456,NCV41OUT010
8.52,Low Fat,0.027101431,Soft Drinks,151.7682,1999,Medium,Tier 1,Supermarket Type1,2439.4912,DRL60OUT049
7.645,Regular,0.067083367,Snack Foods,44.0112,2007,,Tier 2,Supermarket Type1,596.5568,FDV10OUT017
12.1,Low Fat,0.020652362,Snack Foods,149.5734,2009,Medium,Tier 3,Supermarket Type2,2227.101,FDV09OUT018
14.8,Low Fat,0.081042136,Meat,192.4846,1997,Small,Tier 1,Supermarket Type1,5159.2842,FDQ39OUT046
20.75,Low Fat,0.021336565,Soft Drinks,153.6024,2009,Medium,Tier 3,Supermarket Type2,1366.2216,DRE49OUT018
10.8,Low Fat,0.029001987,Snack Foods,238.6222,2002,,Tier 2,Supermarket Type1,8604.7992,FDR45OUT045
18.35,Low Fat,0.069745165,Hard Drinks,190.2872,1998,,Tier 3,Grocery Store,378.1744,DRJ23OUT010
13.5,Regular,0.068148886,Dairy,58.6562,2009,Medium,Tier 3,Supermarket Type2,711.0744,FDQ26OUT018
20.5,Low Fat,0.144094079,Household,34.819,2007,,Tier 2,Supermarket Type1,1061.951,NCA06OUT017
12.35,Regular,0.186616421,Baking Goods,78.6328,2009,Medium,Tier 3,Supermarket Type2,1004.0264,FDT24OUT018
8.895,Low Fat,0.105323859,Dairy,39.1138,2002,,Tier 2,Supermarket Type1,609.207,DRG27OUT045
16.7,Low Fat,0.022110425,Dairy,110.8886,2002,,Tier 2,Supermarket Type1,3558.0352,FDR02OUT045
16.2,Low Fat,0.019374768,Soft Drinks,155.8972,2004,Small,Tier 2,Supermarket Type1,2025.3636,DRG37OUT035
7.26,Low Fat,0.014482278,Meat,118.115,2009,Medium,Tier 3,Supermarket Type2,1864.24,FDJ07OUT018
6.65,Low Fat,0.087805788,Fruits and Vegetables,126.7678,1999,Medium,Tier 1,Supermarket Type1,1907.517,FDP32OUT049
13.35,Low Fat,0.048027043,Breads,218.9166,1997,Small,Tier 1,Supermarket Type1,5660.6316,FDV59OUT046
17.35,Low Fat,0.055908268,Baking Goods,99.8016,2004,Small,Tier 2,Supermarket Type1,607.2096,FDP60OUT035
,Low Fat,0.048522793,Fruits and Vegetables,39.6506,1985,Medium,Tier 3,Supermarket Type3,1024.6662,FDE32OUT027
5.46,Regular,0.032359413,Canned,187.424,2007,,Tier 2,Supermarket Type1,3169.208,FDK26OUT017
18.25,Low Fat,0.088807455,Frozen Foods,197.3452,2004,Small,Tier 2,Supermarket Type1,2740.4328,FDW28OUT035
8.185,LF,0.046556408,Fruits and Vegetables,47.7692,1999,Medium,Tier 1,Supermarket Type1,640.4996,FDP56OUT049
7.5,Low Fat,0.050750977,Canned,122.2072,1997,Small,Tier 1,Supermarket Type1,1960.1152,FDT25OUT046
12.65,Low Fat,0.035404052,Baking Goods,230.601,2004,Small,Tier 2,Supermarket Type1,2067.309,FDQ12OUT035
14.3,Low Fat,0.130390458,Baking Goods,77.2328,2004,Small,Tier 2,Supermarket Type1,231.6984,FDR60OUT035
17.85,Low Fat,0.074422769,Snack Foods,128.002,1998,,Tier 3,Grocery Store,253.004,FDZ10OUT010
6.425,Low Fat,0.105742544,Breakfast,130.5626,1998,,Tier 3,Grocery Store,131.1626,FDM13OUT010
6.825,Regular,0.046729336,Canned,153.4998,2002,,Tier 2,Supermarket Type1,2153.1972,FDF26OUT045
,Low Fat,0.073470234,Canned,205.3638,1985,Medium,Tier 3,Supermarket Type3,5383.6588,FDN02OUT027
20.25,Low Fat,0.058886477,Household,245.546,1987,High,Tier 3,Supermarket Type1,1724.422,NCI30OUT013
19.2,Low Fat,0.18293775,Others,243.0196,1999,Medium,Tier 1,Supermarket Type1,3615.294,NCJ31OUT049
17.7,Low Fat,0.020993364,Household,166.8474,1998,,Tier 3,Grocery Store,168.4474,NCQ54OUT010
9.695,Regular,0.029223424,Canned,175.437,2002,,Tier 2,Supermarket Type1,2999.429,FDB02OUT045
,Low Fat,0.068489201,Canned,259.3278,1985,Medium,Tier 3,Supermarket Type3,4165.2448,FDC02OUT027
7.75,LF,0.043326511,Baking Goods,95.6436,2002,,Tier 2,Supermarket Type1,1134.5232,FDA11OUT045
,Low Fat,0.136532569,Hard Drinks,159.6578,1985,Medium,Tier 3,Supermarket Type3,2888.2404,DRI23OUT027
19.75,Regular,0.018051091,Frozen Foods,179.866,1999,Medium,Tier 1,Supermarket Type1,2696.49,FDE04OUT049
5.325,Regular,0.23212188,Dairy,55.5298,1998,,Tier 3,Grocery Store,53.9298,FDW38OUT010
,Regular,0.057620562,Snack Foods,115.4518,1985,Small,Tier 1,Grocery Store,113.8518,FDG46OUT019
,LF,0.045865089,Health and Hygiene,152.3682,1985,Medium,Tier 3,Supermarket Type3,2287.023,NCJ05OUT027
,Regular,0.021002171,Canned,185.1924,1985,Small,Tier 1,Grocery Store,555.2772,FDU01OUT019
6.71,Regular,0.029727657,Baking Goods,66.6142,2007,,Tier 2,Supermarket Type1,1120.5414,FDY11OUT017
14.35,Low Fat,0.080527065,Baking Goods,79.296,1987,High,Tier 3,Supermarket Type1,719.064,FDX60OUT013
15.2,Low Fat,0,Health and Hygiene,47.8034,1999,Medium,Tier 1,Supermarket Type1,437.4306,NCN29OUT049
5.82,reg,0,Fruits and Vegetables,256.633,1999,Medium,Tier 1,Supermarket Type1,2050.664,FDT07OUT049
5.59,Regular,0.056833394,Snack Foods,61.9168,2009,Medium,Tier 3,Supermarket Type2,1214.4192,FDI21OUT018
18.5,Regular,0.062256921,Frozen Foods,148.0418,1997,Small,Tier 1,Supermarket Type1,2059.9852,FDI41OUT046
,Regular,0.089512542,Snack Foods,133.1626,1985,Medium,Tier 3,Supermarket Type3,3672.5528,FDE10OUT027
14,Regular,0.060427062,Frozen Foods,153.5656,1997,Small,Tier 1,Supermarket Type1,3089.312,FDQ28OUT046
7.605,Low Fat,0.216323008,Fruits and Vegetables,165.021,1998,,Tier 3,Grocery Store,815.605,FDY32OUT010
,Low Fat,0.135612397,Health and Hygiene,61.1536,1985,Small,Tier 1,Grocery Store,61.2536,NCK05OUT019
9.6,Low Fat,0.085125951,Baking Goods,107.128,2002,,Tier 2,Supermarket Type1,1278.336,FDH12OUT045
17.7,Regular,0.122565413,Meat,103.8674,2007,,Tier 2,Supermarket Type1,1528.011,FDJ27OUT017
15.7,Low Fat,0,Hard Drinks,43.377,1998,,Tier 3,Grocery Store,129.831,DRL35OUT010
13.65,Low Fat,0.077670981,Health and Hygiene,55.093,2007,,Tier 2,Supermarket Type1,1301.639,NCY29OUT017
14.6,Regular,0.043201813,Fruits and Vegetables,110.1254,2007,,Tier 2,Supermarket Type1,1844.9318,FDC21OUT017
15.6,Low Fat,0.088215871,Snack Foods,220.1798,2007,,Tier 2,Supermarket Type1,5068.7354,FDM33OUT017
20.25,Low Fat,0.036295834,Dairy,217.5482,1987,High,Tier 3,Supermarket Type1,1095.241,DRJ39OUT013
8.02,Low Fat,0.186528819,Snack Foods,151.9998,1998,,Tier 3,Grocery Store,307.5996,FDB22OUT010
18.35,Low Fat,0.099026525,Fruits and Vegetables,93.8462,1987,High,Tier 3,Supermarket Type1,1295.6468,FDC32OUT013
16.6,LF,0,Canned,118.8124,1997,Small,Tier 1,Supermarket Type1,2607.2728,FDD02OUT046
10,Regular,0.063162608,Frozen Foods,228.6668,2004,Small,Tier 2,Supermarket Type1,3455.502,FDL28OUT035
16.1,Regular,0.063429818,Dairy,179.4318,1999,Medium,Tier 1,Supermarket Type1,2345.6134,FDL39OUT049
13,Regular,0.139785104,Canned,196.2426,1998,,Tier 3,Grocery Store,197.7426,FDV37OUT010
16.1,Regular,0.04807227,Frozen Foods,126.5362,2007,,Tier 2,Supermarket Type1,1761.7068,FDA28OUT017
19,Low Fat,0.112097433,Frozen Foods,105.5622,1999,Medium,Tier 1,Supermarket Type1,1905.5196,FDL04OUT049
17.6,Low Fat,0.010037996,Snack Foods,163.5552,2004,Small,Tier 2,Supermarket Type1,3086.6488,FDR10OUT035
6.32,Low Fat,0.012789884,Meat,39.1822,2007,,Tier 2,Supermarket Type1,1060.6194,FDA39OUT017
9.3,Regular,0.033431669,Meat,153.1314,2004,Small,Tier 2,Supermarket Type1,4653.942,FDR15OUT035
11.1,Regular,0.03623131,Frozen Foods,175.0712,2007,,Tier 2,Supermarket Type1,3339.6528,FDQ40OUT017
,Low Fat,0.086360962,Hard Drinks,151.2682,1985,Medium,Tier 3,Supermarket Type3,2439.4912,DRG23OUT027
6.15,Low Fat,0.046232445,Baking Goods,99.4384,1987,High,Tier 3,Supermarket Type1,1379.5376,FDU36OUT013
20.85,Low Fat,0.097618234,Starchy Foods,223.9746,1997,Small,Tier 1,Supermarket Type1,897.4984,FDF47OUT046
17.1,Regular,0.046808553,Canned,141.4838,1997,Small,Tier 1,Supermarket Type1,1404.838,FDH14OUT046
13.15,Regular,0.03810738,Snack Foods,86.3856,2009,Medium,Tier 3,Supermarket Type2,615.1992,FDO45OUT018
16.5,Regular,0.093846532,Baking Goods,95.7068,2004,Small,Tier 2,Supermarket Type1,1069.2748,FDK60OUT035
11.65,Low Fat,0.040744057,Fruits and Vegetables,185.924,2007,,Tier 2,Supermarket Type1,4101.328,FDS43OUT017
13.15,Low Fat,0.022831052,Fruits and Vegetables,160.292,1999,Medium,Tier 1,Supermarket Type1,4793.76,FDN44OUT049
19.35,Regular,0.076878416,Snack Foods,113.9518,1999,Medium,Tier 1,Supermarket Type1,1138.518,FDS34OUT049
19.35,Regular,0.021501067,Fruits and Vegetables,122.2098,2002,,Tier 2,Supermarket Type1,2771.7254,FDU20OUT045
16.5,Regular,0.07964724,Fruits and Vegetables,101.4332,1987,High,Tier 3,Supermarket Type1,1948.1308,FDP44OUT013
21.35,Low Fat,0.068809463,Canned,258.5278,2004,Small,Tier 2,Supermarket Type1,5206.556,FDC02OUT035
16,Regular,0.115570552,Fruits and Vegetables,57.5246,2004,Small,Tier 2,Supermarket Type1,173.7738,FDT56OUT035
20.5,Low Fat,0.143164371,Household,34.919,1987,High,Tier 3,Supermarket Type1,73.238,NCA06OUT013
19.75,Regular,0.018008071,Frozen Foods,180.466,1987,High,Tier 3,Supermarket Type1,3415.554,FDE04OUT013
17.6,Low Fat,0.015775777,Household,179.1976,2007,,Tier 2,Supermarket Type1,3803.0496,NCX06OUT017
4.615,Regular,0.102407778,Canned,234.33,2007,,Tier 2,Supermarket Type1,3961.51,FDX49OUT017
5.88,Low Fat,0.003606726,Hard Drinks,154.1998,2009,Medium,Tier 3,Supermarket Type2,1384.1982,DRM59OUT018
11.8,Regular,0.093801337,Snack Foods,126.0704,1999,Medium,Tier 1,Supermarket Type1,1251.704,FDJ34OUT049
17.35,Low Fat,0,Baking Goods,101.9016,1987,High,Tier 3,Supermarket Type1,1821.6288,FDP60OUT013
12.35,Regular,0.033760862,Meat,196.9426,1997,Small,Tier 1,Supermarket Type1,5141.3076,FDI07OUT046
,Low Fat,0.031131455,Fruits and Vegetables,111.0228,1985,Medium,Tier 3,Supermarket Type3,3205.1612,FDV07OUT027
9,Low Fat,0.082177842,Frozen Foods,214.1534,2002,,Tier 2,Supermarket Type1,1720.4272,FDH41OUT045
6.235,Low Fat,0.118858866,Household,263.291,1999,Medium,Tier 1,Supermarket Type1,3418.883,NCB31OUT049
9.6,Low Fat,0,Snack Foods,244.817,2004,Small,Tier 2,Supermarket Type1,4374.306,FDW34OUT035
16.75,Low Fat,0.105448901,Snack Foods,156.163,2007,,Tier 2,Supermarket Type1,782.315,FDX45OUT017
17.1,Regular,0.046881328,Canned,141.3838,1999,Medium,Tier 1,Supermarket Type1,1685.8056,FDH14OUT049
6.825,Regular,0.078057026,Canned,154.5998,1998,,Tier 3,Grocery Store,153.7998,FDF26OUT010
6.78,Regular,0.140955857,Baking Goods,92.212,2007,,Tier 2,Supermarket Type1,4101.328,FDU24OUT017
16,Regular,0.107186944,Baking Goods,181.9634,2009,Medium,Tier 3,Supermarket Type2,3453.5046,FDX11OUT018
15,Low Fat,0.153960209,Starchy Foods,105.9938,2004,Small,Tier 2,Supermarket Type1,1179.1318,FDF35OUT035
7.39,Low Fat,0.093160853,Household,251.3066,2009,Medium,Tier 3,Supermarket Type2,1004.0264,NCC43OUT018
17.6,Low Fat,0.05629192,Frozen Foods,42.5454,1997,Small,Tier 1,Supermarket Type1,419.454,FDG29OUT046
12.65,Regular,0.15604396,Fruits and Vegetables,239.6538,1997,Small,Tier 1,Supermarket Type1,3845.6608,FDS44OUT046
17.85,Low Fat,0.044463491,Snack Foods,127.102,1997,Small,Tier 1,Supermarket Type1,2024.032,FDZ10OUT046
11.15,Regular,0.00827301,Dairy,150.4708,1987,High,Tier 3,Supermarket Type1,1956.1204,FDC52OUT013
15.7,low fat,0.030697825,Hard Drinks,42.877,2004,Small,Tier 2,Supermarket Type1,1168.479,DRL35OUT035
14.65,Low Fat,0,Others,56.4614,1998,,Tier 3,Grocery Store,55.2614,NCP55OUT010
,Low Fat,0.101281,Dairy,55.0956,1985,Medium,Tier 3,Supermarket Type3,2020.0372,FDV38OUT027
18.25,Low Fat,0.012300013,Fruits and Vegetables,160.4894,2002,,Tier 2,Supermarket Type1,3073.9986,FDL44OUT045
20.7,Regular,0,Baking Goods,98.7042,2007,,Tier 2,Supermarket Type1,1884.8798,FDZ47OUT017
15.85,Low Fat,0.057313443,Snack Foods,53.3956,1997,Small,Tier 1,Supermarket Type1,1364.89,FDT45OUT046
6.575,Regular,0.075625152,Breads,145.7444,1999,Medium,Tier 1,Supermarket Type1,3193.1768,FDN23OUT049
17.75,Low Fat,0.030568919,Others,177.866,2002,,Tier 2,Supermarket Type1,2336.958,NCP43OUT045
,Low Fat,0.198424841,Soft Drinks,185.2924,1985,Small,Tier 1,Grocery Store,370.1848,DRJ24OUT019
,Regular,0.029578726,Dairy,143.5786,1985,Medium,Tier 3,Supermarket Type3,3756.4436,FDA02OUT027
,LF,0.213125482,Snack Foods,44.9428,1985,Small,Tier 1,Grocery Store,175.7712,FDH33OUT019
16.7,Regular,0.120137953,Fruits and Vegetables,181.2976,2007,,Tier 2,Supermarket Type1,3078.6592,FDF56OUT017
10.85,Low Fat,0.028679894,Household,115.1808,1997,Small,Tier 1,Supermarket Type1,2109.2544,NCN26OUT046
10,Low Fat,0.099804623,Snack Foods,113.7544,1999,Medium,Tier 1,Supermarket Type1,3243.7776,FDD22OUT049
13.65,Regular,0.044526443,Meat,37.9532,1998,,Tier 3,Grocery Store,71.9064,FDU15OUT010
19,Regular,0.162882227,Frozen Foods,46.8718,1998,,Tier 3,Grocery Store,189.0872,FDB41OUT010
9.6,Regular,0.022404493,Breads,102.499,2007,,Tier 2,Supermarket Type1,2579.975,FDZ35OUT017
12,Low Fat,0.075975642,Baking Goods,124.1388,2007,,Tier 2,Supermarket Type1,1486.0656,FDT60OUT017
5.925,Regular,0.09644909,Dairy,43.8086,2004,Small,Tier 2,Supermarket Type1,312.2602,FDE51OUT035
13,Low Fat,0.041816615,Household,254.5014,2004,Small,Tier 2,Supermarket Type1,4845.0266,NCQ06OUT035
8.18,Regular,0.082867689,Frozen Foods,58.5588,2007,,Tier 2,Supermarket Type1,171.7764,FDS28OUT017
12.8,Low Fat,0.076214289,Fruits and Vegetables,96.541,2002,,Tier 2,Supermarket Type1,1834.279,FDH32OUT045
19.2,Low Fat,0.124301968,Canned,89.7488,2002,,Tier 2,Supermarket Type1,2082.6224,FDW37OUT045
14.5,Regular,0.097201128,Snack Foods,159.4262,1997,Small,Tier 1,Supermarket Type1,2705.1454,FDY33OUT046
5.19,Low Fat,0.042861968,Frozen Foods,196.811,2007,,Tier 2,Supermarket Type1,3731.809,FDF17OUT017
13.3,Regular,0.0713931,Fruits and Vegetables,61.0536,1987,High,Tier 3,Supermarket Type1,1592.5936,FDG56OUT013
19.6,Low Fat,0.041256807,Household,88.8514,1987,High,Tier 3,Supermarket Type1,2125.2336,NCB18OUT013
17.75,Low Fat,0.034746076,Dairy,248.275,2004,Small,Tier 2,Supermarket Type1,998.7,FDU14OUT035
12.35,Low Fat,0.093441604,Snack Foods,119.1124,1999,Medium,Tier 1,Supermarket Type1,3673.8844,FDU22OUT049
14.35,Low Fat,0.017024598,Health and Hygiene,109.8228,1987,High,Tier 3,Supermarket Type1,2099.9332,NCV41OUT013
6.365,Low Fat,0.007363189,Frozen Foods,63.2536,2002,,Tier 2,Supermarket Type1,1225.072,FDY52OUT045
,Low Fat,0.014484582,Soft Drinks,143.9102,1985,Medium,Tier 3,Supermarket Type3,3062.0142,DRG48OUT027
,Regular,0.011937183,Canned,184.7924,1985,Medium,Tier 3,Supermarket Type3,4442.2176,FDU01OUT027
14.75,Low Fat,0.032862976,Health and Hygiene,238.6906,1987,High,Tier 3,Supermarket Type1,4278.4308,NCP53OUT013
12.15,Low Fat,0.015484763,Frozen Foods,211.9928,1999,Medium,Tier 1,Supermarket Type1,631.1784,FDC17OUT049
6.59,Low Fat,0.026163192,Household,121.5098,1987,High,Tier 3,Supermarket Type1,602.549,NCZ30OUT013
12.6,Regular,0.073920438,Dairy,255.6356,1997,Small,Tier 1,Supermarket Type1,2797.6916,FDK03OUT046
,Low Fat,0.086352403,Fruits and Vegetables,149.8734,1985,Small,Tier 1,Grocery Store,445.4202,FDE08OUT019
,Low Fat,0.03976832,Others,83.9908,1985,Medium,Tier 3,Supermarket Type3,2348.9424,NCM07OUT027
,Regular,0.015950066,Breads,47.7402,1985,Medium,Tier 3,Supermarket Type3,1975.4286,FDY35OUT027
,Regular,0.082002559,Frozen Foods,59.2588,1985,Medium,Tier 3,Supermarket Type3,1374.2112,FDS28OUT027
7.325,Low Fat,0.093307668,Fruits and Vegetables,92.7146,1987,High,Tier 3,Supermarket Type1,2006.7212,FDI56OUT013
,Low Fat,0.143199389,Breads,175.837,1985,Small,Tier 1,Grocery Store,352.874,FDR23OUT019
15.1,Regular,0.019965179,Frozen Foods,130.531,1999,Medium,Tier 1,Supermarket Type1,908.817,FDF29OUT049
,Regular,0.116108797,Baking Goods,164.121,1985,Medium,Tier 3,Supermarket Type3,6035.477,FDA47OUT027
8.51,reg,0.078339081,Snack Foods,172.9422,1987,High,Tier 3,Supermarket Type1,1379.5376,FDI10OUT013
,Low Fat,0.237651344,Fruits and Vegetables,170.2106,1985,Small,Tier 1,Grocery Store,171.1106,FDC45OUT019
20.35,Regular,0.031102571,Dairy,257.2672,2007,,Tier 2,Supermarket Type1,2045.3376,FDA27OUT017
17.85,Low Fat,0.018097419,Health and Hygiene,96.9094,2009,Medium,Tier 3,Supermarket Type2,1332.9316,NCR41OUT018
18.25,Low Fat,0.078041216,Snack Foods,258.4962,2009,Medium,Tier 3,Supermarket Type2,2848.9582,FDR09OUT018
17.6,Low Fat,0.08226356,Health and Hygiene,160.492,1987,High,Tier 3,Supermarket Type1,1278.336,NCB06OUT013
10.895,Low Fat,0.026880159,Frozen Foods,106.428,1997,Small,Tier 1,Supermarket Type1,1491.392,FDE53OUT046
11.85,Low Fat,0.222063351,Dairy,99.6726,1998,,Tier 3,Grocery Store,195.7452,DRE27OUT010
,Low Fat,0.142589751,Household,35.919,1985,Medium,Tier 3,Supermarket Type3,585.904,NCA06OUT027
14.1,Low Fat,0.126292985,Fruits and Vegetables,88.6198,2009,Medium,Tier 3,Supermarket Type2,1133.8574,FDL56OUT018
15.15,Regular,0.012260981,Snack Foods,131.7284,2004,Small,Tier 2,Supermarket Type1,1186.4556,FDT09OUT035
17.25,Low Fat,0.05869048,Dairy,91.612,1998,,Tier 3,Grocery Store,93.212,DRH03OUT010
17.6,Low Fat,0.018982338,Health and Hygiene,237.059,2009,Medium,Tier 3,Supermarket Type2,2836.308,NCQ53OUT018
